"ContentId","StableId","ContentType","ContentSubtype","SourceKind","SeasonId","SeasonNumber","UniverseYearOrDate","RaceOrEventId","DriverId","TeamId","StoryThreadId","Title","ContentProvenance","ExpectedAssetId","ConfiguredAssetPath","ResolvedPhysicalFile","CurrentFallbackPath","UiSurfaces","Ships","ReachableInUi","ImageWidth","ImageHeight","AspectRatio","FileFormat","FileSizeBytes","HasAlpha","DecodeStatus","BuildCopyStatus","PublishPackageStatus","Sha256","PerceptualHash","ExactReuseCount","NearDuplicateReuseCount","ExactDuplicateGroup","NearDuplicateGroup","PlaceholderDetectionReason","CurrentAuditStatus","Severity","RecommendedAction","NewArtRequired","Notes","SourceFile","SourceLocator"
"history-subject:points-systems-history","points-systems-history","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1967-","regulation","","","","How the Points Have Been Scored (1967-present)","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=points-systems-history]"
"history-subject:qualifying-format-changes","qualifying-format-changes","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1967-","regulation","","","","The Many Lives of Qualifying","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=qualifying-format-changes]"
"history-subject:survival-cell-development","survival-cell-development","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1967-","safety","","","","The Survival Cell: From Spaceframe to Carbon Fibre","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=survival-cell-development]"
"history-subject:tyre-war-and-single-supplier","tyre-war-and-single-supplier","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1967-","technology","","","","Tyre Wars and the Single Supplier","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=tyre-war-and-single-supplier]"
"history-subject:wings-and-the-aero-revolution","wings-and-the-aero-revolution","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1968-1969","technology","","","","Wings Arrive: The Aerodynamic Revolution of 1968","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=wings-and-the-aero-revolution]"
"history-subject:major-technical-bans","major-technical-bans","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1976-","regulation","","","","Banned: Formula 1's Outlawed Innovations","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=major-technical-bans]"
"history-subject:ground-effect-first-era","ground-effect-first-era","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1977-1982","technology","","","","Ground Effect: The First Era (1977-1982)","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=ground-effect-first-era]"
"history-subject:first-turbo-era","first-turbo-era","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1977-1988","technology","","","","The First Turbo Era (1977-1988)","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=first-turbo-era]"
"history-subject:medical-response-revolution","medical-response-revolution","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1978-","safety","","","","The Medical Response Revolution","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=medical-response-revolution]"
"history-subject:active-suspension","active-suspension","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1983-1993","technology","","","","Active Suspension: The Computer-Controlled Car","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=active-suspension]"
"history-subject:semi-automatic-gearbox","semi-automatic-gearbox","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1989-","technology","","","","The Semi-Automatic Gearbox","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=semi-automatic-gearbox]"
"history-subject:naturally-aspirated-years","naturally-aspirated-years","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1989-2013","technology","","","","The Naturally Aspirated Years (1989-2013)","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=naturally-aspirated-years]"
"history-subject:electronic-driver-aids-and-1994-ban","electronic-driver-aids-and-1994-ban","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1990-2008","regulation","","","","Electronic Driver Aids and the 1994 Ban","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=electronic-driver-aids-and-1994-ban]"
"history-subject:imola-1994-safety-reckoning","imola-1994-safety-reckoning","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1994-1994","safety","","","","Imola 1994 and the Safety Reckoning","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=imola-1994-safety-reckoning]"
"history-subject:refuelling-era","refuelling-era","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1994-2009","regulation","","","","Refuelling: Allowed 1994, Banned 2010","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=refuelling-era]"
"history-subject:hybrid-power-units","hybrid-power-units","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","2009-","technology","","","","Hybrid Power Units: From KERS to the Turbo-Hybrid Era","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=hybrid-power-units]"
"history-subject:regulation-reset-2009","regulation-reset-2009","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","2009-2016","regulation","","","","The 2009 Regulation Reset","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=regulation-reset-2009]"
"history-subject:drs-overtaking-aid","drs-overtaking-aid","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","2011-","technology","","","","DRS: The Drag Reduction System","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=drs-overtaking-aid]"
"history-subject:the-halo","the-halo","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","2018-","safety","","","","The Halo","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=the-halo]"
"history-subject:ground-effect-modern-era","ground-effect-modern-era","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","2022-","technology","","","","Ground Effect Returns: The Venturi Cars of 2022","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=ground-effect-modern-era]"
"history-subject:regulation-reset-2022","regulation-reset-2022","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","2022-","regulation","","","","The 2022 Regulation Reset","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=regulation-reset-2022]"
"history-circuit:adelaide-1","history-circuit:adelaide-1","HISTORY","COMPUTED_CIRCUIT_PROFILE","GENERATED","shared","","","adelaide-1","","","","Adelaide","verifiedHistorical","","","","Vector circuit map and text/stat table by current design","History circuit encyclopedia; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: retain vector maps or add sourced/illustrated circuit history art.","False","Computed from the 60 verified season files; no editorial raster field exists.","data/history/*.json","computed circuit entity"
"history-circuit:aida-1","history-circuit:aida-1","HISTORY","COMPUTED_CIRCUIT_PROFILE","GENERATED","shared","","","aida-1","","","","Aida","verifiedHistorical","","","","Vector circuit map and text/stat table by current design","History circuit encyclopedia; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: retain vector maps or add sourced/illustrated circuit history art.","False","Computed from the 60 verified season files; no editorial raster field exists.","data/history/*.json","computed circuit entity"
"history-circuit:anderstorp-1","history-circuit:anderstorp-1","HISTORY","COMPUTED_CIRCUIT_PROFILE","GENERATED","shared","","","anderstorp-1","","","","Anderstorp Raceway","verifiedHistorical","","","","Vector circuit map and text/stat table by current design","History circuit encyclopedia; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: retain vector maps or add sourced/illustrated circuit history art.","False","Computed from the 60 verified season files; no editorial raster field exists.","data/history/*.json","computed circuit entity"
"history-circuit:austin-1","history-circuit:austin-1","HISTORY","COMPUTED_CIRCUIT_PROFILE","GENERATED","shared","","","austin-1","","","","Americas","verifiedHistorical","","","","Vector circuit map and text/stat table by current design","History circuit encyclopedia; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: retain vector maps or add sourced/illustrated circuit history art.","False","Computed from the 60 verified season files; no editorial raster field exists.","data/history/*.json","computed circuit entity"
"history-circuit:bahrain-1","history-circuit:bahrain-1","HISTORY","COMPUTED_CIRCUIT_PROFILE","GENERATED","shared","","","bahrain-1","","","","Bahrain","verifiedHistorical","","","","Vector circuit map and text/stat table by current design","History circuit encyclopedia; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: retain vector maps or add sourced/illustrated circuit history art.","False","Computed from the 60 verified season files; no editorial raster field exists.","data/history/*.json","computed circuit entity"
"history-circuit:bahrain-2","history-circuit:bahrain-2","HISTORY","COMPUTED_CIRCUIT_PROFILE","GENERATED","shared","","","bahrain-2","","","","Bahrain International Circuit, Endurance Circuit","verifiedHistorical","","","","Vector circuit map and text/stat table by current design","History circuit encyclopedia; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: retain vector maps or add sourced/illustrated circuit history art.","False","Computed from the 60 verified season files; no editorial raster field exists.","data/history/*.json","computed circuit entity"
"history-circuit:bahrain-3","history-circuit:bahrain-3","HISTORY","COMPUTED_CIRCUIT_PROFILE","GENERATED","shared","","","bahrain-3","","","","Bahrain","verifiedHistorical","","","","Vector circuit map and text/stat table by current design","History circuit encyclopedia; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: retain vector maps or add sourced/illustrated circuit history art.","False","Computed from the 60 verified season files; no editorial raster field exists.","data/history/*.json","computed circuit entity"
"history-circuit:baku-1","history-circuit:baku-1","HISTORY","COMPUTED_CIRCUIT_PROFILE","GENERATED","shared","","","baku-1","","","","Baku","verifiedHistorical","","","","Vector circuit map and text/stat table by current design","History circuit encyclopedia; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: retain vector maps or add sourced/illustrated circuit history art.","False","Computed from the 60 verified season files; no editorial raster field exists.","data/history/*.json","computed circuit entity"
"history-circuit:brands-hatch-1","history-circuit:brands-hatch-1","HISTORY","COMPUTED_CIRCUIT_PROFILE","GENERATED","shared","","","brands-hatch-1","","","","Brands Hatch","verifiedHistorical","","","","Vector circuit map and text/stat table by current design","History circuit encyclopedia; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: retain vector maps or add sourced/illustrated circuit history art.","False","Computed from the 60 verified season files; no editorial raster field exists.","data/history/*.json","computed circuit entity"
"history-circuit:brands-hatch-2","history-circuit:brands-hatch-2","HISTORY","COMPUTED_CIRCUIT_PROFILE","GENERATED","shared","","","brands-hatch-2","","","","Brands Hatch","verifiedHistorical","","","","Vector circuit map and text/stat table by current design","History circuit encyclopedia; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: retain vector maps or add sourced/illustrated circuit history art.","False","Computed from the 60 verified season files; no editorial raster field exists.","data/history/*.json","computed circuit entity"
"history-circuit:buddh-1","history-circuit:buddh-1","HISTORY","COMPUTED_CIRCUIT_PROFILE","GENERATED","shared","","","buddh-1","","","","Buddh","verifiedHistorical","","","","Vector circuit map and text/stat table by current design","History circuit encyclopedia; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: retain vector maps or add sourced/illustrated circuit history art.","False","Computed from the 60 verified season files; no editorial raster field exists.","data/history/*.json","computed circuit entity"
